Akiba-Iwata branch and reduce solver, Version 1.1
 modified by Yang Ho and Matthias Stallmann, June 2019
reading the input graph...
InputFile   	 /Users/mfms/Git/vertex-cover/instances/small/r_25_75_1.txt
Options     	:--deg1:--dom:--fold2:--LP:--unconfined:--funnel:--desk:--twin:--clique_lb:--lp_lb:-t900:--show_solution
num_vertices        	              25
num_edges           	              75
value               	              16
runtime             	     0.004
num_branches        	               1
Reduction Times (ms):
deg1Time            	     0.049
domTime             	     2.182
fold2Time           	     0.378
lpTime              	     0.039
twinTime            	     0.036
deskTime            	     0.076
unconfinedTime      	     0.213
funnelTime          	     0.001
packingTime         	     0.000
Vertices Reduced:
deg1Count           	               6
domCount            	               2
fold2Count          	              20
lpCount             	               0
twinCount           	               0
deskCount           	               0
unconfinedCount     	               9
funnelCount         	               0
packingCount        	               0
diamondCount        	               2
Effective Reduction Calls:
deg1Calls           	               3
domCalls            	               2
fold2Calls          	               2
lpCalls             	               0
twinCalls           	               0
deskCalls           	               0
unconfinedCalls     	               2
funnelCalls         	               0
packingCalls        	               0
Total Reduction Calls:
deg1AllCalls        	               7
domAllCalls         	               4
fold2AllCalls       	               7
lpAllCalls          	               1
twinAllCalls        	               5
deskAllCalls        	               5
unconfinedAllCalls  	               3
funnelAllCalls      	               1
packingAllCalls     	               0
Effective Lower Bounds:
trivialLBCount      	               0
cliqueLBCount       	               0
lpLBCount           	               0
cycleLBCount        	               0
Lower Bound Times (ms):
cliqueLBTime        	     0.013
cycleLBTime         	     0.000
num_leftcuts        	               0
root_lb             	              16
solution	 _1111100110001011110101101
host_name	csc-usb-ethernet.csc.ncsu.edu
date_time	Thu Jun 27 14:59:00 UTC 2019
